San Jose ,San Jose ,Carmen ,
San Jose ,San Jose ,Merced ,
San Jose ,San Jose ,Hospital ,
San Jose ,San Jose ,Catedral ,
San Jose ,San Jose ,Zapote ,
San Jose ,San Jose ,San Francisco de Dos Ríos ,
San Jose ,San Jose ,Uruca ,
San Jose ,San Jose ,Mata Redonda ,
San Jose ,San Jose ,Pavas ,
San Jose ,San Jose ,Hatillo ,
San Jose ,San Jose ,San Sebastian ,
San Jose ,Escazú ,Escazú ,
San Jose ,Escazú ,San Antonio ,
San Jose ,Escazú ,San rafael ,
San Jose ,Desamparados ,Desamparados ,
San Jose ,Desamparados ,San Miguel ,
San Jose ,Desamparados ,San Juan de Dios ,
San Jose ,Desamparados ,San Rafael Arriba ,
San Jose ,Desamparados ,San Antonio ,
San Jose ,Desamparados ,Frailes ,
San Jose ,Desamparados ,Patarrá ,
San Jose ,Desamparados ,San Cristóbal ,
San Jose ,Desamparados ,Rosario ,
San Jose ,Desamparados ,Damas ,
San Jose ,Desamparados ,San Rafael Abajo ,
San Jose ,Desamparados ,Gravilias ,
San Jose ,Desamparados ,Los Guido ,
San Jose ,Puriscal ,Santiago ,
San Jose ,Puriscal ,Mercedes Sur ,
San Jose ,Puriscal ,Barbacoas ,
San Jose ,Puriscal ,Grifo Alto ,
San Jose ,Puriscal ,San rafael ,
San Jose ,Puriscal ,Candelarita ,
San Jose ,Puriscal ,Desamparaditos ,
San Jose ,Puriscal ,San Antonio ,
San Jose ,Puriscal ,Chires ,
San Jose ,Tarrazú ,San Marcos ,
San Jose ,Tarrazú ,San Lorenzo ,
San Jose ,Tarrazú ,San Carlos ,
San Jose ,Aserrí ,Aserrí ,
San Jose ,Aserrí ,Tarbaca ,
San Jose ,Aserrí ,Vuelta de Jorco ,
San Jose ,Aserrí ,San Gabriel ,
San Jose ,Aserrí ,Legua ,
San Jose ,Aserrí ,Monterrey ,
San Jose ,Aserrí ,Salitrillos ,
San Jose ,Mora ,Colon ,
San Jose ,Mora ,Guayabo ,
San Jose ,Mora ,Tabarcia ,
San Jose ,Mora ,Piedras Negras ,
San Jose ,Mora ,Picagres ,
San Jose ,Mora ,Jaris ,
San Jose ,Mora ,Quitirrisí ,
San Jose ,Goicoechea ,Guadalupe ,
San Jose ,Goicoechea ,San Francisco ,
San Jose ,Goicoechea ,Calle Blancos ,
San Jose ,Goicoechea ,Mata de Plátano ,
San Jose ,Goicoechea ,Ipís ,
San Jose ,Goicoechea ,Rancho Redondo ,
San Jose ,Goicoechea ,Purral ,
San Jose ,Santa Ana ,Santa Ana ,
San Jose ,Santa Ana ,Salitral ,
San Jose ,Santa Ana ,Pozos ,
San Jose ,Santa Ana ,Uruca ,
San Jose ,Santa Ana ,Piedades ,
San Jose ,Santa Ana ,Brasil ,
San Jose ,Alajuelita ,Alajuelita ,
San Jose ,Alajuelita ,San Josecito ,
San Jose ,Alajuelita ,San Antonio ,
San Jose ,Alajuelita ,Concepción ,
San Jose ,Alajuelita ,San Felipe ,
San Jose ,Vásquez de Coronado ,San Isidro ,
San Jose ,Vásquez de Coronado ,San rafael ,
San Jose ,Vásquez de Coronado ,Dulce Nombre de Jesús ,
San Jose ,Vásquez de Coronado ,Patalillo ,
San Jose ,Vásquez de Coronado ,Cascajal ,
San Jose ,Acosta ,San Ignacio ,
San Jose ,Acosta ,Guaitil ,
San Jose ,Acosta ,Palmichal ,
San Jose ,Acosta ,Cangrejal ,
San Jose ,Acosta ,Sabanillas ,
San Jose ,Tibás ,San Juan ,
San Jose ,Tibás ,Cinco Esquinas ,
San Jose ,Tibás ,Anselmo Llorente ,
San Jose ,Tibás ,León XIII ,
San Jose ,Tibás ,Colima ,
San Jose ,Moravia ,San Vicente ,
San Jose ,Moravia ,San Jerónimo ,
San Jose ,Moravia ,La Trinidad ,
San Jose ,Montes de Oca ,San Pedro ,
San Jose ,Montes de Oca ,Sabanilla ,
San Jose ,Montes de Oca ,Mercedes ,
San Jose ,Montes de Oca ,San rafael ,
San Jose ,Turrubares ,San Pablo ,
San Jose ,Turrubares ,San Pedro ,
San Jose ,Turrubares ,San Juan de Mata ,
San Jose ,Turrubares ,San Luis ,
San Jose ,Turrubares ,Carara ,
San Jose ,Dota ,Santa Maria ,
San Jose ,Dota ,Jardín ,
San Jose ,Dota ,Copey ,
San Jose ,Curridabat ,Curridabat ,
San Jose ,Curridabat ,Granadilla ,
San Jose ,Curridabat ,Sánchez ,
San Jose ,Curridabat ,Tirrases ,
San Jose ,Pérez Zeledón ,San Isidro de El General ,
San Jose ,Pérez Zeledón ,El General ,
San Jose ,Pérez Zeledón ,Daniel Flores ,
San Jose ,Pérez Zeledón ,Rivas ,
San Jose ,Pérez Zeledón ,San Pedro ,
San Jose ,Pérez Zeledón ,Platanares ,
San Jose ,Pérez Zeledón ,Pejibaye ,
San Jose ,Pérez Zeledón ,Cajón ,
San Jose ,Pérez Zeledón ,Barú ,
San Jose ,Pérez Zeledón ,Río Nuevo ,
San Jose ,Pérez Zeledón ,Páramo ,
San Jose ,Pérez Zeledón ,La Amistad ,
San Jose ,León Cortés Castro ,San Pablo ,
San Jose ,León Cortés Castro ,San Andrés ,
San Jose ,León Cortés Castro ,Llano Bonito ,
San Jose ,León Cortés Castro ,San Isidro ,
San Jose ,León Cortés Castro ,Santa Cruz ,
San Jose ,León Cortés Castro ,San Antonio ,
Alajuela ,Alajuela ,Alajuela ,
Alajuela ,Alajuela ,San Jose ,
Alajuela ,Alajuela ,Carrizal ,
Alajuela ,Alajuela ,San Antonio ,
Alajuela ,Alajuela ,Guácima ,
Alajuela ,Alajuela ,San Isidro ,
Alajuela ,Alajuela ,Sabanilla ,
Alajuela ,Alajuela ,San rafael ,
Alajuela ,Alajuela ,Río Segundo ,
Alajuela ,Alajuela ,Desamparados ,
Alajuela ,Alajuela ,Turrúcares ,
Alajuela ,Alajuela ,Tambor ,
Alajuela ,Alajuela ,Garita ,
Alajuela ,Alajuela ,Sarapiquí ,
Alajuela ,San Ramón ,San Ramón ,
Alajuela ,San Ramón ,Santiago ,
Alajuela ,San Ramón ,San Juan ,
Alajuela ,San Ramón ,Piedades Norte ,
Alajuela ,San Ramón ,Piedades Sur ,
Alajuela ,San Ramón ,San rafael ,
Alajuela ,San Ramón ,San Isidro ,
Alajuela ,San Ramón ,Los Angeles ,
Alajuela ,San Ramón ,Alfaro ,
Alajuela ,San Ramón ,Volio ,
Alajuela ,San Ramón ,Concepción ,
Alajuela ,San Ramón ,Zapotal ,
Alajuela ,San Ramón ,Peñas Blancas ,
Alajuela ,San Ramón ,San Lorenzo ,
Alajuela ,Grecia ,Grecia ,
Alajuela ,Grecia ,San Isidro ,
Alajuela ,Grecia ,San Jose ,
Alajuela ,Grecia ,San Roque ,
Alajuela ,Grecia ,Tacares ,
Alajuela ,Grecia ,Río Cuarto ,
Alajuela ,Grecia ,Puente de Piedra ,
Alajuela ,Grecia ,Bolívar ,
Alajuela ,San Mateo ,San Mateo ,
Alajuela ,San Mateo ,Desmonte ,
Alajuela ,San Mateo ,Jesús María ,
Alajuela ,San Mateo ,Labrador ,
Alajuela ,Atenas ,Atenas ,
Alajuela ,Atenas ,Jesús ,
Alajuela ,Atenas ,Mercedes ,
Alajuela ,Atenas ,San Isidro ,
Alajuela ,Atenas ,Concepción ,
Alajuela ,Atenas ,San Jose ,
Alajuela ,Atenas ,Santa Eulalia ,
Alajuela ,Atenas ,Escobal ,
Alajuela ,Naranjo ,Naranjo ,
Alajuela ,Naranjo ,San Miguel ,
Alajuela ,Naranjo ,San Jose ,
Alajuela ,Naranjo ,Cirrí Sur ,
Alajuela ,Naranjo ,San Jerónimo,
Alajuela ,Naranjo ,San Juan ,
Alajuela ,Naranjo ,El rosario ,
Alajuela ,Naranjo ,Palmitos ,
Alajuela ,Palmares ,Palmares ,
Alajuela ,Palmares ,Zaragoza ,
Alajuela ,Palmares ,Buenos Aires,
Alajuela ,Palmares ,Santiago ,
Alajuela ,Palmares ,Candelaria ,
Alajuela ,Palmares ,Esquipulas ,
Alajuela ,Palmares ,La Granja ,
Alajuela ,Poás ,San Pedro ,
Alajuela ,Poás ,San Juan ,
Alajuela ,Poás ,San rafael ,
Alajuela ,Poás ,Carrillos ,
Alajuela ,Poás ,Sabana Redonda ,
Alajuela ,Orotina ,Orotina ,
Alajuela ,Orotina ,El Mastate ,
Alajuela ,Orotina ,Hacienda Vieja ,
Alajuela ,Orotina ,Coyolar ,
Alajuela ,Orotina ,La Ceiba ,
Alajuela ,San Carlos ,Quesada ,
Alajuela ,San Carlos ,Florencia ,
Alajuela ,San Carlos ,Buena Vista ,
Alajuela ,San Carlos ,Aguas Zarcas,
Alajuela ,San Carlos ,Venecia ,
Alajuela ,San Carlos ,Pital ,
Alajuela ,San Carlos ,La fortuna ,
Alajuela ,San Carlos ,La Tigra ,
Alajuela ,San Carlos ,La Palmera ,
Alajuela ,San Carlos ,Venado ,
Alajuela ,San Carlos ,Cutris ,
Alajuela ,San Carlos ,Monterrey ,
Alajuela ,San Carlos ,Pocosol ,
Alajuela ,Zarcero ,Zarcero ,
Alajuela ,Zarcero ,Laguna ,
Alajuela ,Zarcero ,Tapezco ,
Alajuela ,Zarcero ,Guadalupe ,
Alajuela ,Zarcero ,Palmira ,
Alajuela ,Zarcero ,Zapote ,
Alajuela ,Zarcero ,Brisas ,
Alajuela ,Sarchí ,Sarchí Norte ,
Alajuela ,Sarchí ,Sarchí Sur ,
Alajuela ,Sarchí ,Toro Amarillo ,
Alajuela ,Sarchí ,San Pedro ,
Alajuela ,Sarchí ,Rodríguez ,
Alajuela ,Upala ,Upala ,
Alajuela ,Upala ,Aguas Claras ,
Alajuela ,Upala ,San José o Pizote ,
Alajuela ,Upala ,Bijagua ,
Alajuela ,Upala ,Delicias ,
Alajuela ,Upala ,Dos Ríos ,
Alajuela ,Upala ,Yolillal ,
Alajuela ,Upala ,Canalete ,
Alajuela ,Los Chiles ,Los Chiles ,
Alajuela ,Los Chiles ,Caño negro ,
Alajuela ,Los Chiles ,El Amparo ,
Alajuela ,Los Chiles ,San Jorge ,
Alajuela ,Guatuso ,San rafael ,
Alajuela ,Guatuso ,Buena Vista ,
Alajuela ,Guatuso ,Redil ,
Alajuela ,Guatuso ,Katira ,
Alajuela ,Río Cuarto ,Río Cuarto ,
Cartago ,Cartago ,oriental ,
Cartago ,Cartago ,Occidental ,
Cartago ,Cartago ,Carmen ,
Cartago ,Cartago ,San Nicolás ,
Cartago ,Cartago ,Aguacaliente o San Francisco ,
Cartago ,Cartago ,Guadalupe o Arenilla ,
Cartago ,Cartago ,Corralillo ,
Cartago ,Cartago ,Tierra Blanca ,
Cartago ,Cartago ,Dulce Nombre ,
Cartago ,Cartago ,Llano Grande ,
Cartago ,Cartago ,Quebradilla ,
Cartago ,Paraíso ,Paraíso ,
Cartago ,Paraíso ,Santiago ,
Cartago ,Paraíso ,Orosi ,
Cartago ,Paraíso ,Cachí ,
Cartago ,Paraíso ,Llanos de Santa Lucía ,
Cartago ,La Unión ,Tres Ríos ,
Cartago ,La Unión ,San Diego ,
Cartago ,La Unión ,San Juan ,
Cartago ,La Unión ,San rafael ,
Cartago ,La Unión ,Concepción ,
Cartago ,La Unión ,Dulce Nombre,
